OCID,Organization,Used for,Registration date
ocds-px0z7d,Portugal: Instituto dos Mercados Públicos (IMPIC),BASE,2019-08-06
ocds-muq5cl,Kenya County Government of Makueni,,2019-08-14
ocds-emvi6n,Panamá: Dirección General de Contrataciones Públicas,http://www.panamacompra.gob.pa,2019-09-05
ocds-h6vhtk,United Kingdom: Cabinet Office,"Find a Tender, https://www.find-tender.service.gov.uk/",2019-09-17
ocds-2x932d,Philippines: Layertech,https://www.ocdex.tech/,2019-09-22
ocds-55vkth,Universidad Rey Juan Carlos (Spain),https://www.urjc.es/,2019-09-24
ocds-00svlx,Perago Information Systems PLC,http://peragosystems.com,2019-10-01
ocds-8kte1o,Public Procurement Regulatory Authority (Pakistan),https://www.ppra.org.pk/,2019-10-03
ocds-fzieo0,"Metropolitan Area Planning Council (MAPC, Boston USA)",,2019-11-06
ocds-5whusi,Public Procurement Regulatory Authority (Kenya),http://ppra.go.ke/,2019-12-06
ocds-rfzo5g,"New Zealand: Ministry of Business, Innovation & Employment (MBIE)",,2020-01-08
ocds-6550wx,"Gobierno de República Dominicana - Dirección
General de Contrataciones Públicas",Dirección General de Contrataciones Públicas,2020-03-05
ocds-e5r943,Ministério Público do Estado do Rio de Janeiro,https://www.mprj.mp.br/inova/impacta,2020-03-12
